arm,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,w_ic,w_bc,gnorm_r,gnorm_ic,gnorm_bc
sym_w=1,1,1250,2.635990e-03,3.406543e-04,2.173587e-03,1.217484e-04,7.441105e-02,1.000000e+00,1.000000e+00,1.044108e-01,5.342807e-01,1.403362e-01
sym_w=1,1,1500,1.256527e-03,1.966978e-04,9.942286e-04,6.560094e-05,2.417534e-02,1.000000e+00,1.000000e+00,3.163998e-02,2.020412e-01,4.727318e-02
sym_w=1,1,1750,7.298090e-04,1.066286e-04,5.357082e-04,8.747231e-05,1.037264e-02,1.000000e+00,1.000000e+00,6.878240e-03,7.560782e-02,7.822430e-02
sym_w=1,1,2000,5.216012e-04,8.353786e-05,3.420596e-04,9.600378e-05,1.187410e-02,1.000000e+00,1.000000e+00,3.969871e-02,6.003800e-02,7.053027e-02
sym_w=1,1,2250,3.656383e-04,6.048891e-05,2.195983e-04,8.555110e-05,6.983486e-03,1.000000e+00,1.000000e+00,1.220267e-02,3.559310e-02,4.034001e-02
sym_w=1,1,2500,3.014993e-04,5.457362e-05,1.716513e-04,7.527432e-05,6.239452e-03,1.000000e+00,1.000000e+00,1.254471e-02,2.854724e-02,3.404352e-02
sym_w=1,1,2750,2.408290e-04,4.727647e-05,1.302100e-04,6.334247e-05,5.478689e-03,1.000000e+00,1.000000e+00,1.273704e-02,2.151837e-02,2.765299e-02
sym_w=1,1,3000,2.500180e-04,6.480334e-05,1.161248e-04,6.908989e-05,9.236994e-03,1.000000e+00,1.000000e+00,5.398347e-02,4.350399e-02,6.591835e-02
sym_w=1,2,0,8.048988e-01,5.608844e-02,7.359090e-01,1.290135e-02,8.786258e-01,1.000000e+00,1.000000e+00,1.755568e+00,4.826723e+00,4.108712e-01
sym_w=1,2,250,7.957593e-03,1.104713e-03,6.083470e-03,7.694094e-04,4.166355e-02,1.000000e+00,1.000000e+00,9.643815e-02,2.696924e-01,2.708304e-01
sym_w=1,2,500,4.591260e-03,6.978342e-04,3.494323e-03,3.991027e-04,3.047522e-02,1.000000e+00,1.000000e+00,7.867764e-02,2.541725e-01,2.670189e-01
sym_w=1,2,750,5.055640e-03,8.570264e-04,4.048808e-03,1.498062e-04,6.937139e-02,1.000000e+00,1.000000e+00,1.951968e-01,6.672322e-01,1.372062e-01
sym_w=1,2,1000,2.588222e-03,4.357196e-04,1.959870e-03,1.926326e-04,2.105427e-02,1.000000e+00,1.000000e+00,4.898725e-02,1.837063e-01,1.883395e-01
sym_w=1,2,1250,1.186955e-02,5.398097e-03,1.891405e-03,4.580049e-03,1.207510e-01,1.000000e+00,1.000000e+00,9.421680e-01,1.889165e-01,8.900580e-01
sym_w=1,2,1500,1.209561e-03,2.158731e-04,9.391265e-04,5.456140e-05,1.297534e-02,1.000000e+00,1.000000e+00,2.695728e-02,1.756762e-01,4.720835e-02
sym_w=1,2,1750,6.905245e-04,1.241237e-04,4.741114e-04,9.228935e-05,9.296697e-03,1.000000e+00,1.000000e+00,1.887939e-02,6.678994e-02,7.584620e-02
sym_w=1,2,2000,4.547825e-04,8.648300e-05,2.865971e-04,8.170238e-05,7.748080e-03,1.000000e+00,1.000000e+00,9.186153e-03,4.029917e-02,4.420996e-02
sym_w=1,2,2250,3.690296e-04,7.411811e-05,2.028813e-04,9.203015e-05,1.014158e-02,1.000000e+00,1.000000e+00,3.530035e-02,2.607988e-02,6.686995e-02
sym_w=1,2,2500,3.091688e-04,5.561116e-05,1.938888e-04,5.966883e-05,7.434407e-03,1.000000e+00,1.000000e+00,4.733340e-03,8.565187e-02,4.718894e-02
sym_w=1,2,2750,4.266839e-04,1.460858e-04,1.453004e-04,1.352977e-04,1.034405e-02,1.000000e+00,1.000000e+00,1.156423e-01,4.289848e-02,1.309755e-01
