d,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
8,0,2750,1.447119e-03,2.611287e-05,1.099961e-03,3.210453e-04,7.256514e-01,8.055925e-03,356.2691
8,0,3000,1.333577e-03,2.799108e-05,1.001483e-03,3.041024e-04,7.216207e-01,7.831554e-03,383.6841
8,0,3250,2.312005e-03,4.392028e-05,1.295314e-03,9.727704e-04,7.781824e-01,7.395068e-03,412.1241
8,0,3500,1.033612e-03,4.016757e-05,7.218989e-04,2.715458e-04,7.131451e-01,7.051162e-03,440.9489
8,0,3750,9.018448e-04,5.044385e-05,6.102821e-04,2.411188e-04,7.132097e-01,6.730154e-03,469.5387
8,0,4000,7.624358e-04,5.794066e-05,4.969694e-04,2.075258e-04,7.147217e-01,6.381541e-03,498.1740
8,0,4250,6.618038e-04,6.397341e-05,4.266035e-04,1.712269e-04,7.170658e-01,6.174004e-03,526.2165
8,0,4500,6.600661e-04,7.445022e-05,4.114185e-04,1.741974e-04,7.524197e-01,5.847428e-03,556.1127
8,0,4750,4.510119e-04,7.312391e-05,2.633966e-04,1.144915e-04,7.267895e-01,5.678857e-03,594.2924
8,0,5000,3.850057e-04,7.617687e-05,2.150986e-04,9.373026e-05,7.308419e-01,5.543978e-03,627.1237
8,1,0,4.744204e-02,3.078447e-04,2.673345e-02,2.040075e-02,9.488576e+00,6.225036e-03,0.2911
8,1,250,4.264439e-03,3.960303e-05,4.046693e-03,1.781420e-04,9.306875e-01,9.536880e-03,32.9277
8,1,500,4.137198e-03,4.088559e-05,3.926514e-03,1.697976e-04,9.183162e-01,9.515197e-03,65.3839
8,1,750,3.875356e-03,4.162616e-05,3.646772e-03,1.869575e-04,8.877255e-01,9.398888e-03,97.0658
8,1,1000,3.421379e-03,3.226744e-05,3.129735e-03,2.593760e-04,8.296889e-01,9.067461e-03,129.2843
8,1,1250,3.098544e-03,2.907177e-05,2.714478e-03,3.549946e-04,7.861029e-01,8.669175e-03,160.4535
8,1,1500,2.887481e-03,3.393956e-05,2.471578e-03,3.819638e-04,7.632999e-01,8.383851e-03,192.6654
8,1,1750,4.639077e-03,3.627331e-05,3.348512e-03,1.254292e-03,1.163914e+00,3.930587e-03,233.2794
8,1,2000,2.519991e-03,3.081878e-05,2.101582e-03,3.875903e-04,7.301195e-01,7.775270e-03,282.3801
8,1,2250,2.428378e-03,2.911469e-05,2.025862e-03,3.734016e-04,7.261775e-01,7.590129e-03,317.0128
8,1,2500,2.113101e-03,3.273019e-05,1.733645e-03,3.467257e-04,7.001390e-01,7.068765e-03,345.8285
8,1,2750,1.907223e-03,3.846162e-05,1.553545e-03,3.152167e-04,6.974919e-01,6.666465e-03,375.2480
8,1,3000,1.637764e-03,4.811045e-05,1.295376e-03,2.942780e-04,6.984374e-01,5.981512e-03,403.7349
8,1,3250,1.424898e-03,5.991037e-05,1.100698e-03,2.642894e-04,7.104264e-01,5.503239e-03,432.7926
8,1,3500,1.208791e-03,7.667417e-05,9.009048e-04,2.312120e-04,7.247843e-01,5.076457e-03,460.6560
8,1,3750,9.976586e-04,9.601084e-05,7.161616e-04,1.854861e-04,7.409960e-01,4.746832e-03,489.5279
8,1,4000,7.921486e-04,1.095103e-04,5.239875e-04,1.586509e-04,7.571607e-01,4.338191e-03,516.7973
8,1,4250,6.202417e-04,1.216394e-04,3.716717e-04,1.269306e-04,7.725793e-01,4.073889e-03,545.4596
8,1,4500,5.094544e-04,1.253659e-04,2.763917e-04,1.076968e-04,7.809049e-01,3.895665e-03,573.0033
8,1,4750,4.174215e-04,1.266593e-04,2.073190e-04,8.344308e-05,7.893259e-01,3.783634e-03,602.7375
