arm,d,seed,n_interior,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
uniform,4,0,4000,1800,1.600252e-03,4.660753e-04,6.274166e-04,5.067603e-04,1.145821e-01,4.581679e-04,140.6318
uniform,4,0,4000,2000,1.910174e-03,5.307666e-04,7.645254e-04,6.148821e-04,1.294958e-01,4.102725e-04,156.2077
uniform,4,1,4000,0,2.258217e-01,3.707026e-04,1.075816e-01,1.178694e-01,2.245503e+00,3.550117e-03,0.0832
uniform,4,1,4000,200,5.226836e-02,1.287087e-03,4.446840e-02,6.512871e-03,7.495747e-01,3.372017e-03,15.5935
uniform,4,1,4000,400,2.392253e-02,6.119533e-04,1.751917e-02,5.791407e-03,4.728126e-01,1.445141e-03,31.1278
uniform,4,1,4000,600,1.388491e-02,1.179886e-03,8.445396e-03,4.259625e-03,3.050782e-01,1.233141e-03,46.6495
uniform,4,1,4000,800,9.062820e-03,1.556091e-03,4.922872e-03,2.583857e-03,2.482312e-01,9.482036e-04,62.1465
uniform,4,1,4000,1000,6.328818e-03,1.426781e-03,3.031049e-03,1.870988e-03,2.072676e-01,7.415652e-04,77.6653
uniform,4,1,4000,1200,8.920929e-03,1.901230e-03,3.226045e-03,3.793654e-03,4.105414e-01,7.064672e-04,93.1915
uniform,4,1,4000,1400,2.704224e-03,9.103975e-04,9.848516e-04,8.089744e-04,1.265423e-01,4.136327e-04,108.8443
uniform,4,1,4000,1600,1.940513e-03,7.651052e-04,6.257307e-04,5.496771e-04,1.003571e-01,3.390787e-04,124.4927
uniform,4,1,4000,1800,1.426643e-03,6.068144e-04,4.250112e-04,3.948175e-04,8.699982e-02,3.039444e-04,140.0421
uniform,4,1,4000,2000,1.189839e-03,5.230328e-04,3.444661e-04,3.223402e-04,7.939800e-02,2.867401e-04,155.6023
tilted,4,0,4000,0,4.325374e-01,6.044430e-02,3.212315e-01,5.086165e-02,1.397760e+00,2.195116e-03,0.0872
tilted,4,0,4000,200,4.759448e-02,2.393046e-03,2.356162e-02,2.163981e-02,6.055401e-01,2.010473e-03,15.7153
tilted,4,0,4000,400,1.547847e-02,2.042945e-03,6.051437e-03,7.384092e-03,3.156288e-01,9.324718e-04,31.2464
tilted,4,0,4000,600,7.192105e-03,1.485788e-03,2.506699e-03,3.199619e-03,2.433786e-01,7.990006e-04,47.3658
tilted,4,0,4000,800,4.109431e-03,8.764106e-04,1.254380e-03,1.978640e-03,2.050258e-01,7.255875e-04,63.6377
tilted,4,0,4000,1000,2.501486e-03,5.876978e-04,6.749699e-04,1.238819e-03,1.703762e-01,5.976520e-04,80.9681
tilted,4,0,4000,1200,1.791712e-03,4.830256e-04,4.604879e-04,8.481988e-04,1.479615e-01,5.195387e-04,97.9817
tilted,4,0,4000,1400,2.770164e-03,5.066728e-04,9.648108e-04,1.298680e-03,3.603740e-01,4.125552e-04,114.5065
tilted,4,0,4000,1600,1.020361e-03,3.259844e-04,2.551446e-04,4.392317e-04,1.186574e-01,4.119116e-04,130.1389
tilted,4,0,4000,1800,7.607520e-04,2.586328e-04,1.899705e-04,3.121487e-04,1.072061e-01,3.693890e-04,147.1597
tilted,4,0,4000,2000,6.580471e-04,2.344000e-04,1.615845e-04,2.620626e-04,1.018688e-01,3.495441e-04,166.7592
tilted,4,1,4000,0,3.015945e-01,3.648232e-04,1.833602e-01,1.178694e-01,2.040792e+00,3.549080e-03,0.1168
tilted,4,1,4000,200,4.523981e-02,3.806066e-03,2.150560e-02,1.992814e-02,5.272800e-01,1.641282e-03,18.7887
tilted,4,1,4000,400,1.521964e-02,1.995789e-03,6.625586e-03,6.598264e-03,3.431200e-01,1.297339e-03,35.4876
tilted,4,1,4000,600,9.757033e-03,1.611026e-03,4.150886e-03,3.995121e-03,2.923113e-01,1.107912e-03,52.1883
tilted,4,1,4000,800,5.639593e-03,1.019807e-03,2.164604e-03,2.455182e-03,2.202843e-01,7.403611e-04,68.5983
tilted,4,1,4000,1000,3.339256e-03,7.259015e-04,1.112937e-03,1.500417e-03,1.662788e-01,5.136488e-04,86.3059
tilted,4,1,4000,1200,1.839546e-03,4.511555e-04,4.964286e-04,8.919620e-04,1.353585e-01,4.247846e-04,102.3565
tilted,4,1,4000,1400,1.317228e-03,3.874954e-04,3.296887e-04,6.000441e-04,1.172255e-01,3.576661e-04,119.1686
tilted,4,1,4000,1600,9.542291e-04,3.046306e-04,2.354354e-04,4.141630e-04,1.032485e-01,3.099445e-04,138.9297
tilted,4,1,4000,1800,7.827552e-04,2.704626e-04,1.893126e-04,3.229800e-04,9.589005e-02,2.867195e-04,155.7502
tilted,4,1,4000,2000,6.067130e-04,2.181019e-04,1.481831e-04,2.404280e-04,8.834209e-02,2.659200e-04,171.8562
uniform,8,0,8000,0,3.191067e-01,3.166007e-02,1.047079e-01,1.827387e-01,7.893616e+00,8.407308e-03,0.6745
uniform,8,0,8000,200,4.262363e-03,3.958080e-05,4.038841e-03,1.839411e-04,9.326579e-01,9.533312e-03,77.7323
uniform,8,0,8000,400,4.139145e-03,4.168509e-05,3.917315e-03,1.801449e-04,9.208056e-01,9.508731e-03,153.3904
uniform,8,0,8000,600,3.969504e-03,4.251600e-05,3.733495e-03,1.934924e-04,9.029097e-01,9.453215e-03,229.0340
uniform,8,0,8000,800,3.733530e-03,4.152506e-05,3.452573e-03,2.394323e-04,8.745553e-01,9.336544e-03,305.7008
uniform,8,0,8000,1000,3.458748e-03,3.454776e-05,3.128865e-03,2.953357e-04,8.382571e-01,9.141835e-03,383.3151
uniform,8,0,8000,1200,3.283824e-03,3.507756e-05,2.920034e-03,3.287121e-04,8.133086e-01,9.010426e-03,460.5795
uniform,8,0,8000,1400,3.093385e-03,3.088403e-05,2.674828e-03,3.876730e-04,7.818211e-01,8.771048e-03,539.3985
uniform,8,0,8000,1600,2.988618e-03,3.515719e-05,2.574342e-03,3.791188e-04,7.705565e-01,8.680248e-03,620.7603
uniform,8,0,8000,1800,2.775809e-03,3.238251e-05,2.338488e-03,4.049389e-04,7.421919e-01,8.435590e-03,704.8547
uniform,8,0,8000,2000,2.677451e-03,3.526160e-05,2.249550e-03,3.926401e-04,7.398745e-01,8.304986e-03,781.8048
uniform,8,1,8000,0,4.665871e-02,3.085713e-04,2.560030e-02,2.074984e-02,9.533077e+00,6.286603e-03,0.8812
uniform,8,1,8000,200,4.050786e-03,4.399649e-05,3.827539e-03,1.792507e-04,9.332162e-01,9.538747e-03,76.7041
uniform,8,1,8000,400,3.961925e-03,4.734589e-05,3.741238e-03,1.733416e-04,9.250138e-01,9.525805e-03,152.2592
uniform,8,1,8000,600,3.811930e-03,5.428319e-05,3.583862e-03,1.737850e-04,9.085665e-01,9.477466e-03,225.7340
uniform,8,1,8000,800,3.574486e-03,5.509645e-05,3.307407e-03,2.119831e-04,8.780543e-01,9.330230e-03,299.8165
uniform,8,1,8000,1000,3.258083e-03,3.867318e-05,2.961463e-03,2.579463e-04,8.382601e-01,9.138461e-03,376.5100
uniform,8,1,8000,1200,3.007992e-03,3.502735e-05,2.655935e-03,3.170296e-04,7.967760e-01,8.890356e-03,451.3795
uniform,8,1,8000,1400,2.844544e-03,3.336039e-05,2.455993e-03,3.551901e-04,7.756231e-01,8.670251e-03,527.8547
uniform,8,1,8000,1600,2.598343e-03,3.433654e-05,2.166741e-03,3.972662e-04,7.390119e-01,8.349536e-03,603.6462
uniform,8,1,8000,1800,2.569143e-03,3.350642e-05,2.149648e-03,3.859889e-04,7.423348e-01,8.232342e-03,678.0560
uniform,8,1,8000,2000,2.373712e-03,3.163304e-05,1.922233e-03,4.198452e-04,7.179731e-01,7.873289e-03,751.4981
uniform,8,0,2000,0,3.170450e-01,3.119940e-02,1.043434e-01,1.815022e-01,7.871067e+00,8.349824e-03,0.1105
uniform,8,0,2000,200,4.140292e-03,3.970866e-05,3.919994e-03,1.805896e-04,9.309020e-01,9.534997e-03,13.5214
uniform,8,0,2000,400,4.023408e-03,4.253064e-05,3.798601e-03,1.822755e-04,9.195498e-01,9.503679e-03,26.8704
uniform,8,0,2000,600,3.885769e-03,4.203717e-05,3.652496e-03,1.912356e-04,9.043817e-01,9.456233e-03,40.3726
uniform,8,0,2000,800,3.674837e-03,4.020156e-05,3.429547e-03,2.050885e-04,8.784223e-01,9.374801e-03,53.7480
uniform,8,0,2000,1000,3.343642e-03,3.512964e-05,3.071162e-03,2.373500e-04,8.342989e-01,9.184377e-03,67.1234
uniform,8,0,2000,1200,3.134986e-03,3.663955e-05,2.805849e-03,2.924976e-04,8.058771e-01,8.944617e-03,80.1924
uniform,8,0,2000,1400,2.917547e-03,3.189873e-05,2.516746e-03,3.689022e-04,7.702387e-01,8.601548e-03,93.6173
uniform,8,0,2000,1600,2.822493e-03,3.361644e-05,2.437303e-03,3.515732e-04,7.665883e-01,8.551881e-03,106.6660
uniform,8,0,2000,1800,2.626178e-03,3.069588e-05,2.196993e-03,3.984892e-04,7.368542e-01,8.176763e-03,120.0063
uniform,8,0,2000,2000,3.102231e-03,4.225534e-05,2.358470e-03,7.015052e-04,7.878725e-01,8.124548e-03,133.1105
uniform,8,1,2000,0,4.280503e-02,2.976200e-04,2.366921e-02,1.883820e-02,9.554579e+00,6.369897e-03,0.1052
uniform,8,1,2000,200,3.223836e-03,3.679959e-05,3.054028e-03,1.330077e-04,9.408827e-01,9.577627e-03,13.2554
uniform,8,1,2000,400,3.162657e-03,3.685674e-05,2.998862e-03,1.269382e-04,9.342587e-01,9.570694e-03,26.3741
uniform,8,1,2000,600,3.068815e-03,3.878744e-05,2.904095e-03,1.259325e-04,9.224505e-01,9.547842e-03,39.6108
uniform,8,1,2000,800,2.911579e-03,4.136160e-05,2.720016e-03,1.502018e-04,8.994875e-01,9.469378e-03,52.7557
uniform,8,1,2000,1000,2.696535e-03,3.996196e-05,2.472230e-03,1.843424e-04,8.649068e-01,9.354035e-03,65.8325
uniform,8,1,2000,1200,2.489772e-03,2.845154e-05,2.246745e-03,2.145752e-04,8.295464e-01,9.196554e-03,79.0003
uniform,8,1,2000,1400,2.433926e-03,2.799657e-05,2.171791e-03,2.341377e-04,8.312310e-01,9.179684e-03,92.0884
uniform,8,1,2000,1600,2.237862e-03,2.337880e-05,1.938222e-03,2.762616e-04,7.806162e-01,8.823945e-03,105.3652
uniform,8,1,2000,1800,2.116375e-03,2.307851e-05,1.800737e-03,2.925595e-04,7.567389e-01,8.676246e-03,118.4438
uniform,8,1,2000,2000,2.067414e-03,2.472706e-05,1.755757e-03,2.869302e-04,7.504971e-01,8.593726e-03,131.5611
uniform,8,0,500,0,3.342273e-01,3.142130e-02,1.032891e-01,1.995169e-01,7.872084e+00,8.354002e-03,0.0322
uniform,8,0,500,200,4.676694e-03,4.359689e-05,4.422969e-03,2.101282e-04,9.293591e-01,9.526005e-03,4.9517
uniform,8,0,500,400,4.566774e-03,4.717408e-05,4.313248e-03,2.063519e-04,9.191875e-01,9.507810e-03,9.8406
uniform,8,0,500,600,4.428932e-03,4.716049e-05,4.169679e-03,2.120925e-04,9.043409e-01,9.464946e-03,14.7363
uniform,8,0,500,800,4.233532e-03,4.544390e-05,3.955253e-03,2.328347e-04,8.806711e-01,9.378317e-03,19.6054
uniform,8,0,500,1000,3.980924e-03,4.047207e-05,3.673330e-03,2.671221e-04,8.470171e-01,9.227706e-03,24.4765
uniform,8,0,500,1200,3.818169e-03,4.007083e-05,3.479849e-03,2.982488e-04,8.246834e-01,9.112226e-03,29.3651
uniform,8,0,500,1400,3.543420e-03,3.022065e-05,3.160735e-03,3.524645e-04,7.842332e-01,8.803165e-03,34.2766
uniform,8,0,500,1600,3.480013e-03,3.619475e-05,3.053103e-03,3.907153e-04,7.773569e-01,8.688478e-03,39.1441
