d,seed,step,loss,loss_r,loss_tc,loss_bc,rel_sd,stderr_sd,rel_rms,train_seconds
4,0,1500,6.481084e-02,2.597723e-02,1.180800e-02,2.702561e-02,2.439885e-01,9.470444e-04,1.091290e-01,190.9606
4,0,1750,5.217217e-02,2.035196e-02,8.297148e-03,2.352306e-02,2.511361e-01,7.945598e-04,1.123259e-01,205.4237
4,0,2000,4.144325e-02,1.840385e-02,5.641224e-03,1.739818e-02,1.948919e-01,7.607053e-04,8.716952e-02,219.9861
4,0,2250,5.616545e-02,2.820743e-02,9.712404e-03,1.824562e-02,1.821514e-01,5.972618e-04,8.147103e-02,234.9631
4,0,2500,5.177628e-02,2.770864e-02,6.677193e-03,1.739045e-02,2.002673e-01,4.365997e-04,8.957374e-02,250.6422
4,0,2750,1.937766e-02,9.801871e-03,2.203370e-03,7.372417e-03,1.471904e-01,5.743504e-04,6.583399e-02,265.0272
4,0,3000,3.046232e-02,1.481265e-02,5.666499e-03,9.983166e-03,1.403285e-01,6.070990e-04,6.276486e-02,280.7992
4,0,3250,2.628395e-02,1.561897e-02,2.983931e-03,7.681054e-03,1.918252e-01,4.516308e-04,8.579783e-02,298.0228
4,0,3500,1.783780e-02,1.029623e-02,1.974764e-03,5.566800e-03,1.323537e-01,6.084343e-04,5.919799e-02,316.1021
4,0,3750,4.523744e-02,2.313924e-02,7.382981e-03,1.471521e-02,1.556631e-01,4.496375e-04,6.962360e-02,332.2910
4,0,4000,3.473969e-02,1.759996e-02,5.414513e-03,1.172521e-02,1.574537e-01,4.264635e-04,7.042449e-02,349.9881
4,0,4250,1.184074e-02,4.980734e-03,1.144598e-03,5.715404e-03,1.317283e-01,5.288040e-04,5.891823e-02,368.8841
4,0,4500,2.149706e-02,1.199039e-02,3.041791e-03,6.464880e-03,1.790948e-01,3.770004e-04,8.010391e-02,387.7597
4,0,4750,3.481360e-02,2.433911e-02,2.943689e-03,7.530799e-03,1.915613e-01,4.007059e-04,8.567983e-02,402.5899
4,0,5000,9.849388e-03,4.165919e-03,1.332270e-03,4.351198e-03,1.035947e-01,5.792618e-04,4.633491e-02,417.9244
4,1,0,1.024094e+01,6.881140e+00,4.714113e-01,2.888386e+00,2.633206e+00,4.263315e-03,1.177757e+00,0.0630
4,1,250,9.975425e-01,5.073659e-01,1.542145e-01,3.359621e-01,1.358904e+00,2.579627e-03,6.077984e-01,14.8142
4,1,500,6.467118e-01,2.344923e-01,1.506690e-01,2.615505e-01,1.087391e+00,2.248882e-03,4.863583e-01,29.7340
4,1,750,1.188029e-01,8.755455e-02,1.480284e-02,1.644555e-02,2.601611e-01,4.917573e-04,1.163625e-01,44.9128
4,1,1000,1.845261e-02,1.314808e-02,3.321219e-03,1.983308e-03,7.485735e-02,1.833007e-04,3.348152e-02,61.5063
4,1,1250,9.708892e-03,7.200364e-03,1.453514e-03,1.055014e-03,5.716409e-02,1.306684e-04,2.556784e-02,76.9621
