d,target,seed,step,loss,loss_r,loss_ic,loss_bc,rel_l2,stderr,train_seconds
4,1e-02,1,11750,4.887842e-05,2.793847e-05,9.234363e-06,1.170559e-05,2.220321e-02,1.157821e-04,464.8843
4,1e-02,1,12000,1.056942e-04,2.942363e-05,3.752032e-05,3.875027e-05,3.412104e-02,9.284917e-05,475.3811
4,1e-02,1,12250,5.516852e-05,2.682860e-05,1.305405e-05,1.528587e-05,2.333732e-02,1.117399e-04,485.7663
4,1e-02,1,12500,5.591325e-05,2.726366e-05,1.256154e-05,1.608805e-05,2.321212e-02,1.082499e-04,496.1996
4,1e-02,1,12750,6.026652e-05,2.503210e-05,1.595468e-05,1.927974e-05,2.845637e-02,9.987513e-05,506.5830
4,1e-02,1,13000,4.459182e-05,2.491055e-05,8.287045e-06,1.139423e-05,2.230461e-02,1.079543e-04,516.8545
4,1e-02,1,13250,4.055818e-05,2.354497e-05,7.151736e-06,9.861479e-06,2.024406e-02,1.047636e-04,527.1939
4,1e-02,1,13500,4.108374e-05,2.283056e-05,8.217239e-06,1.003594e-05,2.033570e-02,1.035226e-04,537.5494
4,1e-02,1,13750,4.202027e-05,2.354300e-05,8.371005e-06,1.010627e-05,2.108491e-02,9.908367e-05,547.8955
4,1e-02,1,14000,2.000788e-03,3.805885e-05,1.063071e-03,8.996584e-04,1.389790e-01,1.265603e-04,558.2060
4,1e-02,1,14250,4.557618e-05,2.116266e-05,1.060867e-05,1.380485e-05,2.259202e-02,9.378752e-05,568.5160
4,1e-02,1,14500,6.034044e-05,3.379068e-05,1.622944e-05,1.032033e-05,2.019971e-02,9.545224e-05,578.8580
4,1e-02,1,14750,3.907494e-05,1.985332e-05,8.398440e-06,1.082318e-05,2.289436e-02,9.580370e-05,589.2319
4,1e-02,1,15000,4.558252e-05,1.965887e-05,1.291946e-05,1.300419e-05,2.299054e-02,9.057678e-05,599.6086
4,1e-02,1,15250,4.571089e-05,1.923390e-05,1.260255e-05,1.387444e-05,2.372798e-02,9.654454e-05,609.9790
4,1e-02,1,15500,3.082201e-04,2.493468e-05,1.564794e-04,1.268060e-04,6.896821e-02,7.809520e-05,620.2777
4,1e-02,1,15750,1.070036e-04,1.857466e-05,3.912066e-05,4.930826e-05,3.208757e-02,9.623861e-05,630.5357
4,1e-02,1,16000,3.989608e-05,1.731769e-05,1.025185e-05,1.232654e-05,2.298700e-02,8.305031e-05,640.8458
4,1e-02,1,16250,2.023042e-04,2.328571e-05,9.146941e-05,8.754911e-05,5.432696e-02,8.806626e-05,651.1589
4,1e-02,1,16500,7.207046e-05,1.947382e-05,3.181482e-05,2.078182e-05,2.662106e-02,7.522596e-05,661.3850
4,1e-02,1,16750,4.492207e-05,2.364037e-05,1.087867e-05,1.040304e-05,2.575878e-02,7.961456e-05,671.7090
4,1e-02,1,17000,2.493677e-04,1.717652e-05,1.057421e-04,1.264490e-04,3.190834e-02,8.695406e-05,681.9195
4,1e-02,1,17250,2.121613e-04,1.737815e-05,9.310993e-05,1.016732e-04,4.731664e-02,9.731953e-05,692.1514
4,1e-02,1,17500,1.050517e-03,2.228627e-05,5.647712e-04,4.634599e-04,1.043465e-01,1.029273e-04,702.4116
4,1e-02,1,17750,9.694280e-05,2.200120e-05,3.580601e-05,3.913559e-05,2.829379e-02,7.264546e-05,712.6692
4,1e-02,1,18000,3.143966e-04,3.165130e-05,1.304963e-04,1.522490e-04,7.716110e-02,1.463563e-04,722.8393
4,1e-02,1,18250,4.587885e-05,1.455500e-05,1.418612e-05,1.713772e-05,1.994811e-02,8.799241e-05,733.1066
4,1e-02,1,18500,6.763400e-05,1.411525e-05,2.336435e-05,3.015440e-05,2.576563e-02,7.695275e-05,743.2901
4,1e-02,1,18750,1.615679e-04,1.457176e-05,7.469407e-05,7.230206e-05,5.077279e-02,9.042710e-05,753.4097
4,1e-02,1,19000,2.227313e-04,1.571960e-05,1.138671e-04,9.314460e-05,5.669146e-02,6.258868e-05,763.5958
4,1e-02,1,19250,6.775641e-05,1.352418e-05,2.657414e-05,2.765809e-05,3.307276e-02,8.136356e-05,773.7299
4,1e-02,1,19500,2.584034e-05,1.300463e-05,6.007361e-06,6.828349e-06,1.821124e-02,7.796187e-05,783.9012
4,1e-02,1,19750,3.513778e-04,1.315380e-05,1.820156e-04,1.562084e-04,6.930176e-02,9.243375e-05,794.1644
4,1e-02,1,20000,2.128094e-05,1.253404e-05,3.584975e-06,5.161923e-06,1.706894e-02,8.355818e-05,804.3300
