model,k,step,loss,rel_l2
fourier,32,2400,1.325482e-03,1.181417e-01
fourier,32,2600,5.727144e-04,1.125373e-01
fourier,32,2800,4.687934e-04,1.107206e-01
fourier,32,3000,4.268604e-04,1.090923e-01
fourier,32,3200,1.474669e-02,1.129986e-01
fourier,32,3400,2.219627e-03,1.085636e-01
fourier,32,3600,1.135433e-03,1.069920e-01
fourier,32,3800,2.961958e-04,1.038395e-01
fourier,32,4000,2.695223e-04,1.026698e-01
fourier,32,4200,2.583508e-04,1.022115e-01
fourier,32,4400,2.307571e-04,1.010239e-01
fourier,32,4600,2.252556e-04,1.006064e-01
fourier,32,4800,2.030216e-04,9.994792e-02
fourier,32,5000,5.825939e-04,1.003876e-01
fourier,32,5200,4.865081e-04,1.006861e-01
fourier,32,5400,6.678861e-04,9.870186e-02
fourier,32,5600,2.745618e-04,9.872231e-02
fourier,32,5800,2.845679e-04,9.994558e-02
fourier,32,6000,6.096046e-04,9.891183e-02
fourier,32,6200,7.878855e-03,1.002547e-01
fourier,32,6400,6.681189e-04,9.754946e-02
fourier,32,6600,6.780318e-04,9.839979e-02
fourier,32,6800,2.024510e-04,9.456650e-02
fourier,32,7000,2.071137e-04,9.631276e-02
fourier,32,7200,2.752870e-04,9.584699e-02
fourier,32,7400,1.084583e-04,9.439826e-02
fourier,32,7600,2.010151e-04,9.471756e-02
fourier,32,7800,4.446593e-03,9.759718e-02
fourier,32,8000,2.530015e-04,9.439415e-02
