model,step,k,coeff
fourier,1700,2,0.997679
fourier,1700,4,0.998840
fourier,1700,8,0.999421
fourier,1700,16,0.999707
fourier,1700,32,0.999833
fourier,1800,1,0.996335
fourier,1800,2,0.999277
fourier,1800,4,1.001376
fourier,1800,8,0.999703
fourier,1800,16,0.999759
fourier,1800,32,0.999765
fourier,1900,1,1.001573
fourier,1900,2,0.997898
fourier,1900,4,0.998946
fourier,1900,8,0.999476
fourier,1900,16,0.999735
fourier,1900,32,0.999849
fourier,2000,1,1.001494
fourier,2000,2,0.998075
fourier,2000,4,0.999038
fourier,2000,8,0.999519
fourier,2000,16,0.999757
fourier,2000,32,0.999862
fourier,2100,1,1.022161
fourier,2100,2,0.992433
fourier,2100,4,0.990238
fourier,2100,8,0.998686
fourier,2100,16,0.999513
fourier,2100,32,0.999923
fourier,2200,1,1.001664
fourier,2200,2,0.998172
fourier,2200,4,0.999063
fourier,2200,8,0.999547
fourier,2200,16,0.999771
fourier,2200,32,0.999868
fourier,2300,1,1.002122
fourier,2300,2,0.997643
fourier,2300,4,1.003002
fourier,2300,8,0.999003
fourier,2300,16,1.000581
fourier,2300,32,0.999472
fourier,2400,1,1.001513
fourier,2400,2,0.998378
fourier,2400,4,0.999164
fourier,2400,8,0.999598
fourier,2400,16,0.999792
fourier,2400,32,0.999885
fourier,2500,1,1.001386
fourier,2500,2,0.998545
fourier,2500,4,0.999277
fourier,2500,8,0.999634
fourier,2500,16,0.999814
fourier,2500,32,0.999895
fourier,2600,1,1.002150
fourier,2600,2,0.998116
fourier,2600,4,0.999101
fourier,2600,8,0.999581
fourier,2600,16,0.999797
fourier,2600,32,0.999891
fourier,2700,1,0.990143
fourier,2700,2,1.006462
fourier,2700,4,0.984393
fourier,2700,8,1.002552
fourier,2700,16,0.995478
fourier,2700,32,0.999755
fourier,2800,1,1.001312
fourier,2800,2,0.998681
fourier,2800,4,0.999360
fourier,2800,8,0.999654
fourier,2800,16,0.999838
fourier,2800,32,0.999900
fourier,2900,1,1.001372
fourier,2900,2,0.998764
fourier,2900,4,0.999384
fourier,2900,8,0.999691
fourier,2900,16,0.999844
fourier,2900,32,0.999912
fourier,3000,1,1.000212
fourier,3000,2,0.998506
fourier,3000,4,0.998992
fourier,3000,8,1.000219
fourier,3000,16,0.999952
fourier,3000,32,0.999990
fourier,3100,1,0.989965
fourier,3100,2,1.001997
fourier,3100,4,1.002784
fourier,3100,8,0.999738
fourier,3100,16,0.999926
fourier,3100,32,0.998461
fourier,3200,1,0.999858
fourier,3200,2,1.000029
fourier,3200,4,0.999079
fourier,3200,8,0.999641
fourier,3200,16,0.999486
fourier,3200,32,0.999918
fourier,3300,1,1.001749
fourier,3300,2,0.998659
fourier,3300,4,0.999452
fourier,3300,8,0.999652
fourier,3300,16,0.999870
fourier,3300,32,0.999907
fourier,3400,1,1.000885
fourier,3400,2,0.997003
fourier,3400,4,0.999831
fourier,3400,8,0.991752
fourier,3400,16,0.999365
fourier,3400,32,0.998767
fourier,3500,1,1.001360
fourier,3500,2,0.998889
fourier,3500,4,0.999475
fourier,3500,8,0.999755
fourier,3500,16,0.999882
fourier,3500,32,0.999927
fourier,3600,1,1.002131
fourier,3600,2,0.998359
fourier,3600,4,0.999623
fourier,3600,8,0.999860
fourier,3600,16,0.999923
fourier,3600,32,0.999922
fourier,3700,1,1.001011
fourier,3700,2,0.998896
fourier,3700,4,0.999649
fourier,3700,8,0.999656
fourier,3700,16,0.999838
fourier,3700,32,0.999912
fourier,3800,1,0.991271
fourier,3800,2,1.008769
fourier,3800,4,0.990795
fourier,3800,8,1.010884
fourier,3800,16,1.002547
fourier,3800,32,1.001421
fourier,3900,1,1.001122
fourier,3900,2,0.999152
fourier,3900,4,0.999559
fourier,3900,8,0.999815
fourier,3900,16,0.999901
fourier,3900,32,0.999941
fourier,4000,1,1.000488
fourier,4000,2,0.998022
fourier,4000,4,0.999013
fourier,4000,8,0.999994
fourier,4000,16,0.999906
fourier,4000,32,0.999880
fourier,4100,1,0.999628
fourier,4100,2,0.999931
fourier,4100,4,0.999686
fourier,4100,8,0.999614
fourier,4100,16,0.999799
fourier,4100,32,0.999942
fourier,4200,1,1.001646
fourier,4200,2,0.999094
fourier,4200,4,0.998878
fourier,4200,8,0.999837
fourier,4200,16,0.999817
fourier,4200,32,0.999921
fourier,4300,1,1.000971
fourier,4300,2,0.999152
fourier,4300,4,0.999652
fourier,4300,8,0.999875
fourier,4300,16,0.999906
fourier,4300,32,0.999952
fourier,4400,1,1.000357
fourier,4400,2,0.998749
fourier,4400,4,0.999374
fourier,4400,8,0.999923
fourier,4400,16,0.999793
fourier,4400,32,0.999926
fourier,4500,1,1.001138
fourier,4500,2,0.999330
fourier,4500,4,0.999595
fourier,4500,8,0.999853
fourier,4500,16,0.999923
fourier,4500,32,0.999928
fourier,4600,1,1.000283
fourier,4600,2,0.999200
fourier,4600,4,0.999938
fourier,4600,8,0.999769
fourier,4600,16,0.999912
fourier,4600,32,0.999927
fourier,4700,1,1.003224
fourier,4700,2,1.001862
fourier,4700,4,0.999331
fourier,4700,8,1.001338
fourier,4700,16,1.000460
fourier,4700,32,1.000286
fourier,4800,1,1.002589
fourier,4800,2,1.004127
fourier,4800,4,1.009173
fourier,4800,8,0.998083
fourier,4800,16,0.999675
fourier,4800,32,1.000929
fourier,4900,1,1.000598
fourier,4900,2,0.999381
fourier,4900,4,0.999416
fourier,4900,8,0.999660
fourier,4900,16,0.999741
fourier,4900,32,0.999907
fourier,5000,1,1.001072
fourier,5000,2,0.999373
fourier,5000,4,0.999821
fourier,5000,8,0.999762
fourier,5000,16,0.999908
fourier,5000,32,0.999958
fourier,5100,1,0.997499
fourier,5100,2,1.000095
fourier,5100,4,1.001212
fourier,5100,8,1.000963
fourier,5100,16,1.000576
fourier,5100,32,1.000282
fourier,5200,1,1.000092
fourier,5200,2,0.998205
fourier,5200,4,1.000268
fourier,5200,8,0.999100
fourier,5200,16,0.999727
fourier,5200,32,0.999768
fourier,5300,1,1.000248
fourier,5300,2,0.997939
fourier,5300,4,0.998426
fourier,5300,8,0.998716
fourier,5300,16,0.999233
fourier,5300,32,0.999543
fourier,5400,1,0.999727
fourier,5400,2,0.998774
fourier,5400,4,1.000668
fourier,5400,8,0.999545
fourier,5400,16,0.999918
fourier,5400,32,0.999892
fourier,5500,1,1.000571
fourier,5500,2,0.999008
fourier,5500,4,1.000139
fourier,5500,8,1.000989
fourier,5500,16,1.000629
fourier,5500,32,1.000046
fourier,5600,1,1.017838
fourier,5600,2,1.001168
fourier,5600,4,1.003345
fourier,5600,8,1.000095
fourier,5600,16,1.001779
fourier,5600,32,1.000740
fourier,5700,1,0.983821
fourier,5700,2,0.996565
fourier,5700,4,0.991263
fourier,5700,8,0.996892
fourier,5700,16,0.995396
fourier,5700,32,0.998269
fourier,5800,1,0.997335
fourier,5800,2,0.992931
fourier,5800,4,0.991945
fourier,5800,8,0.994983
fourier,5800,16,0.996249
fourier,5800,32,0.997871
fourier,5900,1,0.995232
fourier,5900,2,1.000625
fourier,5900,4,1.005356
fourier,5900,8,0.999843
fourier,5900,16,1.001200
fourier,5900,32,1.000285
fourier,6000,1,1.001851
fourier,6000,2,0.999568
fourier,6000,4,1.000159
fourier,6000,8,1.000143
fourier,6000,16,1.000186
fourier,6000,32,1.000093
fourier,6100,1,0.999918
fourier,6100,2,1.000864
fourier,6100,4,0.999494
fourier,6100,8,1.000311
fourier,6100,16,1.000094
fourier,6100,32,1.000102
fourier,6200,1,1.001070
fourier,6200,2,0.999409
fourier,6200,4,0.999641
fourier,6200,8,0.999515
fourier,6200,16,0.999772
fourier,6200,32,0.999955
fourier,6300,1,1.000229
fourier,6300,2,0.998551
fourier,6300,4,0.998279
fourier,6300,8,0.998266
fourier,6300,16,0.998930
fourier,6300,32,0.999484
fourier,6400,1,1.001203
fourier,6400,2,0.997925
fourier,6400,4,0.998916
fourier,6400,8,1.000019
fourier,6400,16,1.000267
fourier,6400,32,0.999902
fourier,6500,1,1.010677
fourier,6500,2,1.003596
fourier,6500,4,1.012096
fourier,6500,8,0.995220
fourier,6500,16,1.002394
fourier,6500,32,1.000117
fourier,6600,1,0.998303
fourier,6600,2,0.998804
fourier,6600,4,0.998851
fourier,6600,8,0.999529
fourier,6600,16,0.999637
fourier,6600,32,0.999729
fourier,6700,1,1.003046
fourier,6700,2,0.999320
fourier,6700,4,1.000265
fourier,6700,8,1.000137
fourier,6700,16,1.000395
fourier,6700,32,1.000104
fourier,6800,1,1.003646
fourier,6800,2,1.000377
